gene_name	gene_id
BANF1	ENSG00000175334
HMGA1	ENSG00000137309
LIG4	ENSG00000174405
PSIP1	ENSG00000164985
XRCC4	ENSG00000152422
XRCC5	ENSG00000079246
XRCC6	ENSG00000196419
PRPS1	ENSG00000147224
PRPS1L1	ENSG00000229937
PRPS2	ENSG00000101911
AGRN	ENSG00000188157
B3GALT6	ENSG00000176022
B3GAT1	ENSG00000109956
B3GAT2	ENSG00000112309
B3GAT3	ENSG00000149541
B4GALT7	ENSG00000027847
BCAN	ENSG00000132692
BGN	ENSG00000182492
CSPG4	ENSG00000173546
CSPG5	ENSG00000114646
DCN	ENSG00000011465
GPC1	ENSG00000063660
GPC2	ENSG00000213420
GPC3	ENSG00000147257
GPC4	ENSG00000076716
GPC5	ENSG00000179399
GPC6	ENSG00000183098
HSPG2	ENSG00000142798
NCAN	ENSG00000130287
SDC1	ENSG00000115884
SDC2	ENSG00000169439
SDC3	ENSG00000162512
SDC4	ENSG00000124145
VCAN	ENSG00000038427
XYLT1	ENSG00000103489
XYLT2	ENSG00000015532
ABCA1	ENSG00000165029
ABCA12	ENSG00000144452
ABCA3	ENSG00000167972
ABCB11	ENSG00000073734
ABCB4	ENSG00000005471
ABCB6	ENSG00000115657
ABCC2	ENSG00000023839
ABCC6	ENSG00000091262
ABCC8	ENSG00000006071
ABCC9	ENSG00000069431
ABCD1	ENSG00000101986
ABCD4	ENSG00000119688
ABCG5	ENSG00000138075
ABCG8	ENSG00000143921
APOA1	ENSG00000118137
CFTR	ENSG00000001626
DERL1	ENSG00000136986
DERL2	ENSG00000072849
DERL3	ENSG00000099958
ERLEC1	ENSG00000068912
ERLIN1	ENSG00000107566
ERLIN2	ENSG00000147475
KCNJ11	ENSG00000187486
OS9	ENSG00000135506
PSMA1	ENSG00000129084
PSMA2	ENSG00000106588
PSMA3	ENSG00000100567
PSMA4	ENSG00000041357
PSMA5	ENSG00000143106
PSMA6	ENSG00000100902
PSMA7	ENSG00000101182
PSMA8	ENSG00000154611
PSMB1	ENSG00000008018
PSMB10	ENSG00000205220
PSMB11	ENSG00000222028
PSMB2	ENSG00000126067
PSMB3	ENSG00000277791
PSMB4	ENSG00000159377
PSMB5	ENSG00000100804
PSMB6	ENSG00000142507
PSMB7	ENSG00000136930
PSMB8	ENSG00000204264
PSMB9	ENSG00000240065
PSMC1	ENSG00000100764
PSMC2	ENSG00000161057
PSMC3	ENSG00000165916
PSMC4	ENSG00000013275
PSMC5	ENSG00000087191
PSMC6	ENSG00000100519
PSMD1	ENSG00000173692
PSMD10	ENSG00000101843
PSMD11	ENSG00000108671
PSMD12	ENSG00000197170
PSMD13	ENSG00000185627
PSMD14	ENSG00000115233
PSMD2	ENSG00000175166
PSMD3	ENSG00000108344
PSMD4	ENSG00000159352
PSMD5	ENSG00000095261
PSMD6	ENSG00000163636
PSMD7	ENSG00000103035
PSMD8	ENSG00000099341
PSMD9	ENSG00000110801
PSME1	ENSG00000092010
PSME2	ENSG00000100911
PSME3	ENSG00000131467
PSME4	ENSG00000068878
PSMF1	ENSG00000125818
RNF185	ENSG00000138942
RNF5	ENSG00000204308
RPS27A	ENSG00000143947
