sample_old	sample_id
TCGA-A2-A3KC-01A-11D-A20R-01	TCGA-A2-A3KC
TCGA-BH-A8G0-01A-11D-A350-01	TCGA-BH-A8G0
TCGA-AR-A24S-01A-11D-A166-01	TCGA-AR-A24S
TCGA-PL-A8LY-01A-11D-A41E-01	TCGA-PL-A8LY
TCGA-AN-A0XW-01A-11D-A107-01	TCGA-AN-A0XW
TCGA-E2-A1LA-01A-11D-A141-01	TCGA-E2-A1LA
TCGA-B6-A1KF-01A-11D-A13J-01	TCGA-B6-A1KF
TCGA-S3-A6ZG-01A-22D-A32H-01	TCGA-S3-A6ZG
TCGA-LL-A50Y-01A-11D-A25N-01	TCGA-LL-A50Y
TCGA-BH-A1ET-01A-11D-A134-01	TCGA-BH-A1ET
TCGA-GM-A2DF-01A-11D-A17U-01	TCGA-GM-A2DF
TCGA-EW-A1P5-01A-11D-A141-01	TCGA-EW-A1P5
TCGA-LL-A7T0-01A-31D-A350-01	TCGA-LL-A7T0
TCGA-E9-A1R3-01A-31D-A14J-01	TCGA-E9-A1R3
TCGA-3C-AALJ-01A-31D-A41E-01	TCGA-3C-AALJ
TCGA-A2-A0T6-01A-11D-A087-01	TCGA-A2-A0T6
TCGA-D8-A1XD-01A-11D-A14F-01	TCGA-D8-A1XD
TCGA-E9-A22H-01A-11D-A160-01	TCGA-E9-A22H
TCGA-A2-A0ST-01A-12D-A087-01	TCGA-A2-A0ST
TCGA-A2-A1G6-01A-11D-A13J-01	TCGA-A2-A1G6
TCGA-AN-A0XS-01A-22D-A107-01	TCGA-AN-A0XS
TCGA-A2-A0YC-01A-11D-A107-01	TCGA-A2-A0YC
TCGA-OL-A66H-01A-11D-A29M-01	TCGA-OL-A66H
TCGA-A7-A4SA-01A-11D-A25N-01	TCGA-A7-A4SA
TCGA-EW-A6SC-01A-12D-A32H-01	TCGA-EW-A6SC
TCGA-A2-A0YM-01A-11D-A107-01	TCGA-A2-A0YM
TCGA-OL-A5RV-01A-12D-A28A-01	TCGA-OL-A5RV
TCGA-A2-A4S3-01A-21D-A25N-01	TCGA-A2-A4S3
TCGA-WT-AB44-01A-11D-A41E-01	TCGA-WT-AB44
TCGA-E9-A248-01A-11D-A166-01	TCGA-E9-A248
TCGA-D8-A1X7-01A-11D-A14J-01	TCGA-D8-A1X7
TCGA-PE-A5DD-01A-12D-A27O-01	TCGA-PE-A5DD
TCGA-OL-A66K-01A-11D-A29M-01	TCGA-OL-A66K
TCGA-C8-A1HK-01A-21D-A13J-01	TCGA-C8-A1HK
TCGA-C8-A26V-01A-11D-A16C-01	TCGA-C8-A26V
TCGA-E2-A574-01A-11D-A29M-01	TCGA-E2-A574
TCGA-EW-A1P4-01A-21D-A141-01	TCGA-EW-A1P4
TCGA-A2-A0CR-01A-11D-A227-01	TCGA-A2-A0CR
TCGA-A1-A0SN-01A-11D-A141-01	TCGA-A1-A0SN
TCGA-E2-A105-01A-11D-A10L-01	TCGA-E2-A105
TCGA-AO-A0JI-01A-21D-A059-01	TCGA-AO-A0JI
TCGA-E2-A1B1-01A-21D-A12N-01	TCGA-E2-A1B1
TCGA-BH-A2L8-01A-11D-A18N-01	TCGA-BH-A2L8
TCGA-B6-A0WV-01A-11D-A107-01	TCGA-B6-A0WV
TCGA-OL-A6VQ-01A-12D-A41E-01	TCGA-OL-A6VQ
TCGA-BH-A0DQ-01A-11D-A087-01	TCGA-BH-A0DQ
TCGA-E2-A106-01A-11D-A10L-01	TCGA-E2-A106
TCGA-AO-A126-01A-11D-A10L-01	TCGA-AO-A126
TCGA-C8-A27A-01A-11D-A166-01	TCGA-C8-A27A
TCGA-AC-A23G-01A-11D-A20R-01	TCGA-AC-A23G
TCGA-D8-A27H-01A-11D-A16C-01	TCGA-D8-A27H
TCGA-OL-A5RZ-01A-11D-A28A-01	TCGA-OL-A5RZ
TCGA-E2-A10B-01A-11D-A10L-01	TCGA-E2-A10B
TCGA-EW-A424-01A-11D-A242-01	TCGA-EW-A424
TCGA-BH-A0B9-01A-11D-A059-01	TCGA-BH-A0B9
TCGA-AQ-A54N-01A-11D-A25N-01	TCGA-AQ-A54N
TCGA-A7-A26H-01A-11D-A166-01	TCGA-A7-A26H
TCGA-GM-A2DL-01A-11D-A18N-01	TCGA-GM-A2DL
TCGA-D8-A1X5-01A-11D-A14F-01	TCGA-D8-A1X5
TCGA-EW-A1IX-01A-12D-A141-01	TCGA-EW-A1IX
TCGA-AN-A0XN-01A-21D-A107-01	TCGA-AN-A0XN
TCGA-AC-A23E-01A-11D-A160-01	TCGA-AC-A23E
TCGA-EW-A2FW-01A-11D-A17C-01	TCGA-EW-A2FW
TCGA-E2-A2P6-01A-11D-A19X-01	TCGA-E2-A2P6
TCGA-BH-A28O-01A-11D-A227-01	TCGA-BH-A28O
TCGA-AO-A128-01A-11D-A10L-01	TCGA-AO-A128
TCGA-D8-A1JT-01A-31D-A13J-01	TCGA-D8-A1JT
TCGA-E9-A243-01A-21D-A166-01	TCGA-E9-A243
TCGA-BH-A0BT-01A-11D-A12N-01	TCGA-BH-A0BT
