sample_old	sample_id
TCGA-A2-A0YT-01A-11D-A10A-05	TCGA-A2-A0YT
TCGA-BH-A8FZ-01A-11D-A357-05	TCGA-BH-A8FZ
TCGA-BH-A0B8-01A-21D-A10P-05	TCGA-BH-A0B8
TCGA-A2-A4RX-01A-11D-A268-05	TCGA-A2-A4RX
TCGA-B6-A0X4-01A-11D-A10A-05	TCGA-B6-A0X4
TCGA-AO-A1KO-01A-31D-A13K-05	TCGA-AO-A1KO
TCGA-A7-A2KD-01A-31D-A21R-05	TCGA-A7-A2KD
TCGA-B6-A0X1-01A-11D-A10A-05	TCGA-B6-A0X1
TCGA-AR-A0U2-01A-11D-A10A-05	TCGA-AR-A0U2
TCGA-D8-A1JM-01A-11D-A13K-05	TCGA-D8-A1JM
TCGA-A2-A0YF-01A-21D-A10A-05	TCGA-A2-A0YF
TCGA-B6-A0WZ-01A-11D-A10A-05	TCGA-B6-A0WZ
TCGA-E9-A2JS-01A-11D-A17Z-05	TCGA-E9-A2JS
TCGA-E9-A1NI-01A-11D-A14H-05	TCGA-E9-A1NI
TCGA-LL-A5YN-01A-11D-A28C-05	TCGA-LL-A5YN
TCGA-EW-A1PF-01A-11D-A145-05	TCGA-EW-A1PF
TCGA-AC-A2BK-01A-11D-A21R-05	TCGA-AC-A2BK
TCGA-C8-A278-01A-11D-A16A-05	TCGA-C8-A278
TCGA-E9-A1RB-01A-11D-A161-05	TCGA-E9-A1RB
TCGA-B6-A0WV-01A-11D-A10A-05	TCGA-B6-A0WV
TCGA-A2-A3XV-01A-21D-A23D-05	TCGA-A2-A3XV
TCGA-A1-A0SQ-01A-21D-A145-05	TCGA-A1-A0SQ
TCGA-D8-A1XU-01A-11D-A14N-05	TCGA-D8-A1XU
TCGA-BH-A1F2-01A-31D-A13K-05	TCGA-BH-A1F2
TCGA-AN-A0XR-01A-11D-A10A-05	TCGA-AN-A0XR
TCGA-D8-A1JK-01A-11D-A13K-05	TCGA-D8-A1JK
TCGA-EW-A1OZ-01A-11D-A145-05	TCGA-EW-A1OZ
TCGA-AR-A2LL-01A-11D-A17Z-05	TCGA-AR-A2LL
TCGA-BH-A0DK-01A-21D-A10P-05	TCGA-BH-A0DK
TCGA-E2-A1L7-01A-11D-A145-05	TCGA-E2-A1L7
TCGA-AC-A3QP-01A-11D-A230-05	TCGA-AC-A3QP
TCGA-BH-A1EV-01A-11D-A138-05	TCGA-BH-A1EV
TCGA-S3-A6ZH-01A-22D-A32T-05	TCGA-S3-A6ZH
TCGA-E9-A1NA-01A-11D-A145-05	TCGA-E9-A1NA
TCGA-A2-A0CR-01A-11D-A22B-05	TCGA-A2-A0CR
TCGA-AR-A1AI-01A-11D-A12R-05	TCGA-AR-A1AI
TCGA-E9-A24A-01A-11D-A16A-05	TCGA-E9-A24A
TCGA-BH-AB28-01A-31D-A41Q-05	TCGA-BH-AB28
TCGA-AC-A4ZE-01A-11D-A41Q-05	TCGA-AC-A4ZE
TCGA-LL-A7SZ-01A-32D-A357-05	TCGA-LL-A7SZ
TCGA-E2-A2P6-01A-11D-A19Z-05	TCGA-E2-A2P6
TCGA-B6-A0IK-01A-12D-A10P-05	TCGA-B6-A0IK
TCGA-BH-A6R9-01A-21D-A32T-05	TCGA-BH-A6R9
TCGA-AC-A6IX-01A-12D-A32T-05	TCGA-AC-A6IX
TCGA-AR-A0TU-01A-31D-A10A-05	TCGA-AR-A0TU
TCGA-E9-A295-01A-11D-A16G-05	TCGA-E9-A295
TCGA-OL-A66H-01A-11D-A29O-05	TCGA-OL-A66H
TCGA-AR-A24Z-01A-11D-A16A-05	TCGA-AR-A24Z
TCGA-AR-A0TW-01A-11D-A10P-05	TCGA-AR-A0TW
TCGA-D8-A27G-01A-11D-A16G-05	TCGA-D8-A27G
TCGA-AC-A8OR-01A-21D-A41Q-05	TCGA-AC-A8OR
TCGA-A7-A26E-01A-11D-A27B-05	TCGA-A7-A26E
TCGA-A7-A4SE-01A-11D-A268-05	TCGA-A7-A4SE
TCGA-GM-A4E0-01A-12D-A268-05	TCGA-GM-A4E0
TCGA-EW-A1P6-01A-11D-A145-05	TCGA-EW-A1P6
TCGA-A2-A0T6-01A-11D-A10P-05	TCGA-A2-A0T6
TCGA-BH-A1FC-01A-11D-A13K-05	TCGA-BH-A1FC
TCGA-E2-A1IU-01A-11D-A14H-05	TCGA-E2-A1IU
TCGA-AO-A1KR-01A-12D-A145-05	TCGA-AO-A1KR
TCGA-A2-A0YI-01A-31D-A10N-05	TCGA-A2-A0YI
TCGA-E2-A56Z-01A-12D-A29O-05	TCGA-E2-A56Z
TCGA-GM-A5PV-01A-11D-A28C-05	TCGA-GM-A5PV
TCGA-A1-A0SO-01A-22D-A10P-05	TCGA-A1-A0SO
TCGA-BH-A42T-01A-11D-A244-05	TCGA-BH-A42T
TCGA-AC-A2QI-01A-12D-A19Z-05	TCGA-AC-A2QI
TCGA-B6-A0WT-01A-11D-A10A-05	TCGA-B6-A0WT
TCGA-EW-A3U0-01A-11D-A22B-05	TCGA-EW-A3U0
TCGA-E9-A22E-01A-11D-A161-05	TCGA-E9-A22E
TCGA-GM-A2DL-01A-11D-A18O-05	TCGA-GM-A2DL
TCGA-AC-A3W6-01A-12D-A22B-05	TCGA-AC-A3W6
TCGA-D8-A27K-01A-11D-A16G-05	TCGA-D8-A27K
TCGA-AO-A129-01A-21D-A10N-05	TCGA-AO-A129
TCGA-A2-A0YJ-01A-11D-A10A-05	TCGA-A2-A0YJ
TCGA-D8-A1XV-01A-11D-A14N-05	TCGA-D8-A1XV
TCGA-A1-A0SN-01A-11D-A145-05	TCGA-A1-A0SN
TCGA-AR-A1AS-01A-11D-A12R-05	TCGA-AR-A1AS
TCGA-PE-A5DE-01A-11D-A27Y-05	TCGA-PE-A5DE
TCGA-EW-A1PA-01A-11D-A145-05	TCGA-EW-A1PA
TCGA-E9-A245-01A-22D-A16G-05	TCGA-E9-A245
TCGA-AR-A1AY-01A-21D-A12R-05	TCGA-AR-A1AY
TCGA-S3-AA14-01A-11D-A41Q-05	TCGA-S3-AA14
TCGA-S3-A6ZG-01A-22D-A32T-05	TCGA-S3-A6ZG
TCGA-E2-A1L8-01A-11D-A13K-05	TCGA-E2-A1L8
TCGA-AO-A0JD-01A-11D-A10P-05	TCGA-AO-A0JD
TCGA-4H-AAAK-01A-12D-A41Q-05	TCGA-4H-AAAK
TCGA-BH-A0E0-01A-11D-A10P-05	TCGA-BH-A0E0
TCGA-AR-A24R-01A-11D-A16A-05	TCGA-AR-A24R
TCGA-E2-A1LL-01A-11D-A145-05	TCGA-E2-A1LL
TCGA-AR-A2LO-01A-31D-A18O-05	TCGA-AR-A2LO
TCGA-AR-A2LE-01A-11D-A17Z-05	TCGA-AR-A2LE
TCGA-EW-A1OV-01A-11D-A145-05	TCGA-EW-A1OV
TCGA-A2-A3XS-01A-11D-A230-05	TCGA-A2-A3XS
TCGA-EW-A1PH-01A-11D-A14N-05	TCGA-EW-A1PH
TCGA-BH-A1FG-01A-11D-A13K-05	TCGA-BH-A1FG
TCGA-E9-A1N3-01A-12D-A161-05	TCGA-E9-A1N3
TCGA-D8-A27H-01A-11D-A16G-05	TCGA-D8-A27H
TCGA-C8-A1HO-01A-11D-A13K-05	TCGA-C8-A1HO
