sample_old	sample_id
TCGA-E2-A1L7-01A-11R-A144-07	TCGA-E2-A1L7
TCGA-AR-A0U0-01A-11R-A109-07	TCGA-AR-A0U0
TCGA-BH-A28O-01A-11R-A22K-07	TCGA-BH-A28O
TCGA-E9-A1R4-01A-21R-A14D-07	TCGA-E9-A1R4
TCGA-AO-A1KQ-01A-11R-A13Q-07	TCGA-AO-A1KQ
TCGA-AC-A62V-01A-11R-A31O-07	TCGA-AC-A62V
TCGA-A2-A0SV-01A-11R-A084-07	TCGA-A2-A0SV
TCGA-AN-A0XW-01A-11R-A109-07	TCGA-AN-A0XW
TCGA-D8-A1XV-01A-11R-A14M-07	TCGA-D8-A1XV
TCGA-A2-A4RW-01A-21R-A266-07	TCGA-A2-A4RW
TCGA-D8-A1XB-01A-11R-A14D-07	TCGA-D8-A1XB
TCGA-AR-A2LE-01A-11R-A180-07	TCGA-AR-A2LE
TCGA-A2-A0CO-01A-13R-A22K-07	TCGA-A2-A0CO
TCGA-E9-A1NA-01A-11R-A144-07	TCGA-E9-A1NA
TCGA-A2-A259-01A-11R-A16F-07	TCGA-A2-A259
TCGA-BH-A28Q-01A-11R-A16F-07	TCGA-BH-A28Q
TCGA-E2-A1IO-01A-11R-A144-07	TCGA-E2-A1IO
TCGA-AQ-A7U7-01A-22R-A352-07	TCGA-AQ-A7U7
TCGA-AO-A0JL-01A-11R-A056-07	TCGA-AO-A0JL
TCGA-GM-A2DF-01A-11R-A180-07	TCGA-GM-A2DF
TCGA-A2-A25B-01A-11R-A169-07	TCGA-A2-A25B
TCGA-AO-A0JD-01A-11R-A056-07	TCGA-AO-A0JD
TCGA-AC-A2BM-01A-11R-A21T-07	TCGA-AC-A2BM
TCGA-A1-A0SP-01A-11R-A084-07	TCGA-A1-A0SP
TCGA-BH-A6R8-01A-21R-A33J-07	TCGA-BH-A6R8
TCGA-E9-A1QZ-01A-21R-A169-07	TCGA-E9-A1QZ
TCGA-AC-A3W7-01A-11R-A22K-07	TCGA-AC-A3W7
TCGA-LD-A9QF-01A-32R-A41B-07	TCGA-LD-A9QF
TCGA-A7-A26G-01A-21R-A169-07	TCGA-A7-A26G
TCGA-BH-A0H7-01A-13R-A056-07	TCGA-BH-A0H7
TCGA-D8-A1XG-01A-11R-A14D-07	TCGA-D8-A1XG
TCGA-E2-A14U-01A-11R-A22K-07	TCGA-E2-A14U
TCGA-BH-A0E0-01A-11R-A056-07	TCGA-BH-A0E0
TCGA-S3-AA10-01A-21R-A41B-07	TCGA-S3-AA10
TCGA-B6-A0RN-01A-12R-A084-07	TCGA-B6-A0RN
TCGA-E9-A244-01A-11R-A169-07	TCGA-E9-A244
TCGA-E2-A1LK-01A-21R-A14D-07	TCGA-E2-A1LK
TCGA-LL-A5YL-01A-12R-A29R-07	TCGA-LL-A5YL
TCGA-BH-A0AZ-01A-21R-A12P-07	TCGA-BH-A0AZ
TCGA-EW-A1P4-01A-21R-A144-07	TCGA-EW-A1P4
TCGA-D8-A1JD-01A-11R-A13Q-07	TCGA-D8-A1JD
TCGA-D8-A27F-01A-11R-A16F-07	TCGA-D8-A27F
TCGA-A2-A0ST-01A-12R-A084-07	TCGA-A2-A0ST
TCGA-A7-A0D9-01A-31R-A056-07	TCGA-A7-A0D9
TCGA-E2-A15K-01A-11R-A12P-07	TCGA-E2-A15K
TCGA-LD-A7W5-01A-22R-A352-07	TCGA-LD-A7W5
TCGA-A2-A3XV-01A-21R-A239-07	TCGA-A2-A3XV
TCGA-A2-A0SX-01A-12R-A084-07	TCGA-A2-A0SX
TCGA-EW-A1OY-01A-11R-A144-07	TCGA-EW-A1OY
TCGA-AR-A24Z-01A-11R-A169-07	TCGA-AR-A24Z
TCGA-D8-A1XT-01A-11R-A14M-07	TCGA-D8-A1XT
TCGA-B6-A0RL-01A-11R-A084-07	TCGA-B6-A0RL
TCGA-E9-A22E-01A-11R-A157-07	TCGA-E9-A22E
TCGA-D8-A1JK-01A-11R-A13Q-07	TCGA-D8-A1JK
TCGA-AC-A7VB-01A-11R-A352-07	TCGA-AC-A7VB
TCGA-BH-A0B8-01A-21R-A056-07	TCGA-BH-A0B8
TCGA-D8-A27N-01A-11R-A16F-07	TCGA-D8-A27N
TCGA-AC-A8OS-01A-12R-A41B-07	TCGA-AC-A8OS
TCGA-AR-A256-01A-11R-A169-07	TCGA-AR-A256
TCGA-E2-A1BC-01A-11R-A12P-07	TCGA-E2-A1BC
TCGA-A7-A426-01A-22R-A24H-07	TCGA-A7-A426
TCGA-AC-A5XS-01A-11R-A29R-07	TCGA-AC-A5XS
TCGA-OL-A6VR-01A-32R-A33J-07	TCGA-OL-A6VR
TCGA-AR-A24R-01A-11R-A169-07	TCGA-AR-A24R
TCGA-BH-A0DG-01A-21R-A12P-07	TCGA-BH-A0DG
TCGA-EW-A1PG-01A-11R-A144-07	TCGA-EW-A1PG
TCGA-BH-A0DD-01A-31R-A12P-07	TCGA-BH-A0DD
TCGA-E2-A1B4-01A-11R-A12P-07	TCGA-E2-A1B4
TCGA-D8-A27H-01A-11R-A16F-07	TCGA-D8-A27H
TCGA-E2-A1BD-01A-11R-A12P-07	TCGA-E2-A1BD
TCGA-B6-A1KN-01A-11R-A13Q-07	TCGA-B6-A1KN
TCGA-A7-A5ZV-01A-11R-A28M-07	TCGA-A7-A5ZV
TCGA-BH-A2L8-01A-11R-A18M-07	TCGA-BH-A2L8
TCGA-A2-A0YH-01A-11R-A109-07	TCGA-A2-A0YH
TCGA-D8-A1JI-01A-11R-A13Q-07	TCGA-D8-A1JI
TCGA-EW-A1J3-01A-11R-A13Q-07	TCGA-EW-A1J3
TCGA-A7-A5ZX-01A-12R-A29R-07	TCGA-A7-A5ZX
TCGA-EW-A423-01A-11R-A24H-07	TCGA-EW-A423
TCGA-A2-A25E-01A-11R-A169-07	TCGA-A2-A25E
TCGA-C8-A26Y-01A-11R-A16F-07	TCGA-C8-A26Y
TCGA-OL-A66H-01A-11R-A29R-07	TCGA-OL-A66H
TCGA-BH-A0WA-01A-11R-A109-07	TCGA-BH-A0WA
TCGA-BH-A1EX-01A-11R-A13Q-07	TCGA-BH-A1EX
TCGA-BH-A0GY-01A-11R-A056-07	TCGA-BH-A0GY
TCGA-AR-A1AN-01A-11R-A12P-07	TCGA-AR-A1AN
TCGA-AC-A23H-01A-11R-A157-07	TCGA-AC-A23H
TCGA-OL-A5RZ-01A-11R-A28M-07	TCGA-OL-A5RZ
TCGA-E9-A1RC-01A-11R-A157-07	TCGA-E9-A1RC
TCGA-GM-A2DN-01A-11R-A180-07	TCGA-GM-A2DN
TCGA-B6-A0I1-01A-11R-A21T-07	TCGA-B6-A0I1
TCGA-EW-A1IW-01A-11R-A13Q-07	TCGA-EW-A1IW
TCGA-BH-A42V-01A-11R-A24H-07	TCGA-BH-A42V
TCGA-AR-A251-01A-12R-A169-07	TCGA-AR-A251
TCGA-AC-A8OP-01A-11R-A36F-07	TCGA-AC-A8OP
TCGA-D8-A1XU-01A-11R-A14M-07	TCGA-D8-A1XU
TCGA-B6-A0IK-01A-12R-A056-07	TCGA-B6-A0IK
TCGA-D8-A27R-01A-11R-A16F-07	TCGA-D8-A27R
TCGA-E9-A22G-01A-11R-A157-07	TCGA-E9-A22G
TCGA-E2-A1LE-01A-12R-A19W-07	TCGA-E2-A1LE
TCGA-3C-AAAU-01A-11R-A41B-07	TCGA-3C-AAAU
