sample_old	sample_id	type	sample_new
read_count_TCGA-5L-AAT0-01A-12R-A41G-13	TCGA-5L-AAT0	read_count	TCGA-5L-AAT0-01A-12R-A41G-13
read_count_TCGA-D8-A1Y3-01A-11R-A156-13	TCGA-D8-A1Y3	read_count	TCGA-D8-A1Y3-01A-11R-A156-13
read_count_TCGA-AO-A1KS-01A-11R-A13P-13	TCGA-AO-A1KS	read_count	TCGA-AO-A1KS-01A-11R-A13P-13
read_count_TCGA-AR-A0TR-01A-11R-A085-13	TCGA-AR-A0TR	read_count	TCGA-AR-A0TR-01A-11R-A085-13
read_count_TCGA-EW-A1J3-01A-11R-A13P-13	TCGA-EW-A1J3	read_count	TCGA-EW-A1J3-01A-11R-A13P-13
read_count_TCGA-E2-A1BC-01A-11R-A12O-13	TCGA-E2-A1BC	read_count	TCGA-E2-A1BC-01A-11R-A12O-13
read_count_TCGA-A7-A6VX-01A-12R-A33A-13	TCGA-A7-A6VX	read_count	TCGA-A7-A6VX-01A-12R-A33A-13
read_count_TCGA-A2-A0YH-01A-11R-A108-13	TCGA-A2-A0YH	read_count	TCGA-A2-A0YH-01A-11R-A108-13
read_count_TCGA-A2-A0YF-01A-21R-A108-13	TCGA-A2-A0YF	read_count	TCGA-A2-A0YF-01A-21R-A108-13
read_count_TCGA-C8-A8HR-01A-11R-A36A-13	TCGA-C8-A8HR	read_count	TCGA-C8-A8HR-01A-11R-A36A-13
read_count_TCGA-D8-A1XV-01A-11R-A14L-13	TCGA-D8-A1XV	read_count	TCGA-D8-A1XV-01A-11R-A14L-13
read_count_TCGA-LL-A73Z-01A-11R-A32K-13	TCGA-LL-A73Z	read_count	TCGA-LL-A73Z-01A-11R-A32K-13
read_count_TCGA-E2-A573-01A-11R-A29V-13	TCGA-E2-A573	read_count	TCGA-E2-A573-01A-11R-A29V-13
read_count_TCGA-AR-A1AY-01A-21R-A12O-13	TCGA-AR-A1AY	read_count	TCGA-AR-A1AY-01A-21R-A12O-13
read_count_TCGA-A2-A4S2-01A-12R-A25Z-13	TCGA-A2-A4S2	read_count	TCGA-A2-A4S2-01A-12R-A25Z-13
read_count_TCGA-AR-A252-01A-11R-A168-13	TCGA-AR-A252	read_count	TCGA-AR-A252-01A-11R-A168-13
