gene_id	gene_name
ENSG00000143845	ETNK2
ENSG00000273703	H2BC14
ENSG00000061918	GUCY1B1
ENSG00000167552	TUBA1A
ENSG00000175354	PTPN2
ENSG00000086712	TXLNG
ENSG00000221823	PPP3R1
ENSG00000134186	PRPF38B
ENSG00000166949	SMAD3
ENSG00000134516	DOCK2
ENSG00000165682	CLEC1B
ENSG00000120942	UBIAD1
ENSG00000141552	ANAPC11
ENSG00000089472	HEPH
ENSG00000160808	MYL3
ENSG00000102743	SLC25A15
ENSG00000099984	GSTT2
ENSG00000160654	CD3G
ENSG00000127533	F2RL3
ENSG00000128886	ELL3
ENSG00000101049	SGK2
ENSG00000131015	ULBP2
ENSG00000151065	DCP1B
ENSG00000175084	DES
ENSG00000131375	CAPN7
ENSG00000159459	UBR1
ENSG00000060656	PTPRU
ENSG00000122574	WIPF3
ENSG00000189052	CGB5
ENSG00000131697	NPHP4
ENSG00000185274	GALNT17
ENSG00000110944	IL23A
ENSG00000066336	SPI1
ENSG00000007944	MYLIP
ENSG00000169245	CXCL10
ENSG00000068878	PSME4
ENSG00000242076	IGKV1-33
ENSG00000137168	PPIL1
ENSG00000100292	HMOX1
ENSG00000169896	ITGAM
ENSG00000169760	NLGN1
ENSG00000186971	KRTAP13-4
ENSG00000105929	ATP6V0A4
ENSG00000223383	H2ACP1
ENSG00000111647	UHRF1BP1L
ENSG00000136213	CHST12
ENSG00000183960	KCNH8
ENSG00000099840	IZUMO4
ENSG00000164414	SLC35A1
ENSG00000105639	JAK3
ENSG00000101188	NTSR1
ENSG00000164631	ZNF12
ENSG00000137462	TLR2
ENSG00000153094	BCL2L11
ENSG00000161267	BDH1
ENSG00000060762	MPC1
ENSG00000178229	ZNF543
ENSG00000119661	DNAL1
ENSG00000108963	DPH1
ENSG00000132964	CDK8
ENSG00000130717	UCK1
ENSG00000184500	PROS1
ENSG00000135116	HRK
ENSG00000136546	SCN7A
ENSG00000152642	GPD1L
ENSG00000198453	ZNF568
ENSG00000167397	VKORC1
ENSG00000143036	SLC44A3
ENSG00000164128	NPY1R
ENSG00000150672	DLG2
ENSG00000027847	B4GALT7
ENSG00000152034	MCHR2
ENSG00000131236	CAP1
ENSG00000160191	PDE9A
ENSG00000160882	CYP11B1
ENSG00000131165	CHMP1A
ENSG00000157087	ATP2B2
ENSG00000164024	METAP1
ENSG00000112195	TREML2
ENSG00000174851	YIF1A
ENSG00000105371	ICAM4
ENSG00000145287	PLAC8
ENSG00000251369	ZNF550
ENSG00000183682	BMP8A
ENSG00000148488	ST8SIA6
ENSG00000198952	SMG5
ENSG00000162601	MYSM1
ENSG00000108298	RPL19
ENSG00000211892	IGHG4
ENSG00000189014	SHLD2P3
ENSG00000006831	ADIPOR2
ENSG00000169410	PTPN9
ENSG00000167136	ENDOG
ENSG00000136869	TLR4
ENSG00000182070	OR52A1
ENSG00000122507	BBS9
ENSG00000111907	TPD52L1
ENSG00000162909	CAPN2
ENSG00000068831	RASGRP2
ENSG00000185385	OR7A17
ENSG00000088986	DYNLL1
ENSG00000118257	NRP2
ENSG00000146477	SLC22A3
ENSG00000186226	LCE1E
ENSG00000140983	RHOT2
ENSG00000005812	FBXL3
ENSG00000221837	KRTAP10-9
ENSG00000078246	TULP3
ENSG00000213397	HAUS7
ENSG00000238243	OR2W3
ENSG00000124222	STX16
ENSG00000128310	GALR3
ENSG00000084112	SSH1
ENSG00000145708	CRHBP
ENSG00000128159	TUBGCP6
ENSG00000211895	IGHA1
ENSG00000198821	CD247
ENSG00000058668	ATP2B4
ENSG00000156282	CLDN17
ENSG00000105939	ZC3HAV1
ENSG00000133433	GSTT2B
ENSG00000117480	FAAH
ENSG00000213398	LCAT
ENSG00000244509	APOBEC3C
ENSG00000171388	APLN
ENSG00000187498	COL4A1
ENSG00000174238	PITPNA
ENSG00000124766	SOX4
ENSG00000163349	HIPK1
ENSG00000181652	ATG9B
ENSG00000258227	CLEC5A
ENSG00000127080	IPPK
ENSG00000140400	MAN2C1
ENSG00000169592	INO80E
ENSG00000175189	INHBC
ENSG00000153071	DAB2
ENSG00000188124	OR2AG2
ENSG00000160293	VAV2
ENSG00000100764	PSMC1
ENSG00000135049	AGTPBP1
ENSG00000141542	RAB40B
ENSG00000153015	CWC27
ENSG00000102189	EEA1
ENSG00000145451	GLRA3
ENSG00000115525	ST3GAL5
ENSG00000158092	NCK1
ENSG00000138678	GPAT3
ENSG00000124813	RUNX2
ENSG00000005436	GCFC2
ENSG00000170949	ZNF160
ENSG00000164756	SLC30A8
ENSG00000010327	STAB1
ENSG00000178363	CALML3
ENSG00000205864	KRTAP5-6
ENSG00000100298	APOBEC3H
ENSG00000179388	EGR3
ENSG00000119640	ACYP1
ENSG00000141084	RANBP10
ENSG00000125363	AMELX
ENSG00000111676	ATN1
ENSG00000167632	TRAPPC9
ENSG00000008516	MMP25
ENSG00000141837	CACNA1A
ENSG00000175505	CLCF1
ENSG00000136839	OR13C9
ENSG00000123374	CDK2
ENSG00000159210	SNF8
ENSG00000167880	EVPL
ENSG00000135090	TAOK3
ENSG00000134326	CMPK2
ENSG00000104738	MCM4
ENSG00000123146	ADGRE5
ENSG00000135390	ATP5MC2
ENSG00000108671	PSMD11
ENSG00000148136	OR13C4
ENSG00000102316	MAGED2
ENSG00000131042	LILRB2
ENSG00000072864	NDE1
ENSG00000174953	DHX36
ENSG00000102172	SMS
ENSG00000118680	MYL12B
ENSG00000136717	BIN1
ENSG00000130935	NOL11
ENSG00000140368	PSTPIP1
ENSG00000120915	EPHX2
ENSG00000102001	CACNA1F
ENSG00000180433	OR6K6
ENSG00000126070	AGO3
ENSG00000121281	ADCY7
ENSG00000136104	RNASEH2B
ENSG00000102054	RBBP7
ENSG00000185475	TMEM179B
ENSG00000130787	HIP1R
ENSG00000105323	HNRNPUL1
ENSG00000149798	CDC42EP2
ENSG00000148660	CAMK2G
ENSG00000196136	SERPINA3
ENSG00000204311	PJVK
ENSG00000061794	MRPS35
ENSG00000172602	RND1
ENSG00000157782	CABP1
ENSG00000116095	PLEKHA3
ENSG00000204371	EHMT2
ENSG00000126759	CFP
ENSG00000066813	ACSM2B
ENSG00000152520	PAN3
ENSG00000172830	SSH3
ENSG00000177575	CD163
ENSG00000188766	SPRED3
ENSG00000102393	GLA
ENSG00000225830	ERCC6
ENSG00000172270	BSG
ENSG00000083520	DIS3
ENSG00000116161	CACYBP
ENSG00000116985	BMP8B
ENSG00000178301	AQP11
ENSG00000151332	MBIP
ENSG00000172199	OR8U1
ENSG00000166913	YWHAB
ENSG00000196724	ZNF418
ENSG00000163884	KLF15
ENSG00000123338	NCKAP1L
ENSG00000126243	LRFN3
ENSG00000108306	FBXL20
ENSG00000152670	DDX4
ENSG00000058729	RIOK2
ENSG00000115053	NCL
ENSG00000198108	CHSY3
ENSG00000172113	NME6
ENSG00000094963	FMO2
ENSG00000239264	TXNDC5
ENSG00000072210	ALDH3A2
ENSG00000163527	STT3B
ENSG00000147155	EBP
ENSG00000278857	IGKV1D-12
ENSG00000129152	MYOD1
ENSG00000123143	PKN1
ENSG00000111530	CAND1
ENSG00000243927	MRPS6
ENSG00000023697	DERA
ENSG00000130382	MLLT1
ENSG00000166347	CYB5A
ENSG00000130811	EIF3G
ENSG00000279761	OR5D13
ENSG00000099284	MACROH2A2
ENSG00000184903	IMMP2L
ENSG00000100290	BIK
ENSG00000075945	KIFAP3
ENSG00000102886	GDPD3
ENSG00000138061	CYP1B1
ENSG00000138080	EMILIN1
ENSG00000122861	PLAU
ENSG00000204020	LIPN
ENSG00000175183	CSRP2
ENSG00000165102	HGSNAT
ENSG00000128881	TTBK2
ENSG00000237541	HLA-DQA2
ENSG00000211653	IGLV1-40
ENSG00000169136	ATF5
ENSG00000168283	BMI1
ENSG00000213977	TAX1BP3
ENSG00000164327	RICTOR
ENSG00000151292	CSNK1G3
ENSG00000215883	CYB5RL
ENSG00000182324	KCNJ14
ENSG00000177707	NECTIN3
ENSG00000130702	LAMA5
ENSG00000211934	IGHV1-2
ENSG00000204424	LY6G6F
ENSG00000171681	ATF7IP
ENSG00000207808	MIR27A
ENSG00000154721	JAM2
ENSG00000205755	CRLF2
ENSG00000088305	DNMT3B
ENSG00000112584	FAM120B
ENSG00000140941	MAP1LC3B
ENSG00000090661	CERS4
ENSG00000105122	RASAL3
ENSG00000143869	GDF7
ENSG00000185359	HGS
ENSG00000272602	ZNF595
ENSG00000177380	PPFIA3
ENSG00000129810	SGO1
ENSG00000122180	MYOG
ENSG00000233608	TWIST2
ENSG00000152409	JMY
ENSG00000087303	NID2
