initial_alias	converted_alias	name
ENSG00000278267	hsa-mir-6859-1	MIR6859-1
ENSG00000284332	hsa-mir-1302-2	MIR1302-2
ENSG00000273874	hsa-mir-6859-2	MIR6859-2
ENSG00000207730	hsa-mir-200b	MIR200B
ENSG00000207607	hsa-mir-200a	MIR200A
ENSG00000198976	hsa-mir-429	MIR429
ENSG00000278073	hsa-mir-6726	MIR6726
ENSG00000283712	hsa-mir-6727	MIR6727
ENSG00000284372	hsa-mir-6808	MIR6808
ENSG00000283572	hsa-mir-4251	MIR4251
ENSG00000207776	hsa-mir-551a	MIR551A
ENSG00000264101	hsa-mir-4689	MIR4689
ENSG00000265392	hsa-mir-4252	MIR4252
ENSG00000274258	hsa-mir-6728	MIR6728
ENSG00000284357	hsa-mir-34a	MIR34A
ENSG00000265521	hsa-mir-5697	MIR5697
ENSG00000276869	hsa-mir-6729	MIR6729
ENSG00000283789	hsa-mir-7846	MIR7846
ENSG00000263676	hsa-mir-4632	MIR4632
ENSG00000276830	hsa-mir-6730	MIR6730
ENSG00000263811	hsa-mir-3675	MIR3675
ENSG00000266634	hsa-mir-3972	MIR3972
ENSG00000265606	hsa-mir-4695	MIR4695
ENSG00000221662	hsa-mir-1290	MIR1290
ENSG00000284005	hsa-mir-6084	MIR6084
ENSG00000221808	hsa-mir-1256	MIR1256
ENSG00000266564	hsa-mir-4418	MIR4418
ENSG00000276835	hsa-mir-6127	MIR6127
ENSG00000265422	hsa-mir-4684	MIR4684
ENSG00000264014	hsa-mir-4253	MIR4253
ENSG00000263793	hsa-mir-3115	MIR3115
ENSG00000264926	hsa-mir-378f	MIR378F
ENSG00000278034	hsa-mir-6731	MIR6731
ENSG00000264371	hsa-mir-4425	MIR4425
ENSG00000283938	hsa-mir-3917	MIR3917
ENSG00000238705	hsa-mir-1976	MIR1976
ENSG00000264773	hsa-mir-4420	MIR4420
ENSG00000266580	hsa-mir-4254	MIR4254
ENSG00000266203	hsa-mir-5585	MIR5585
ENSG00000284154	hsa-mir-3605	MIR3605
ENSG00000207941	hsa-mir-552	MIR552
ENSG00000264698	hsa-mir-4255	MIR4255
ENSG00000283724	hsa-mir-6732	MIR6732
ENSG00000263675	hsa-mir-5581	MIR5581
ENSG00000265596	hsa-mir-3659	MIR3659
ENSG00000198974	hsa-mir-30e	MIR30E
ENSG00000207962	hsa-mir-30c-1	MIR30C1
ENSG00000284410	hsa-mir-6733	MIR6733
ENSG00000283836	hsa-mir-6734	MIR6734
ENSG00000274975	hsa-mir-6735	MIR6735
ENSG00000283477	hsa-mir-6079	MIR6079
ENSG00000263381	hsa-mir-5584	MIR5584
ENSG00000265538	hsa-mir-4421	MIR4421
ENSG00000275816	hsa-mir-6500	MIR6500
ENSG00000283899	hsa-mir-761	MIR761
ENSG00000283749	hsa-mir-4781	MIR4781
ENSG00000265822	hsa-mir-4422	MIR4422
ENSG00000266150	hsa-mir-4711	MIR4711
ENSG00000263908	hsa-mir-3116-1	MIR3116-1
ENSG00000283690	hsa-mir-3116-2	MIR3116-2
ENSG00000275836	hsa-mir-6068	MIR6068
ENSG00000264470	hsa-mir-4794	MIR4794
ENSG00000265996	hsa-mir-3671	MIR3671
ENSG00000199135	hsa-mir-101-1	MIR101-1
ENSG00000264720	hsa-mir-3117	MIR3117
ENSG00000221203	hsa-mir-1262	MIR1262
ENSG00000207721	hsa-mir-186	MIR186
ENSG00000276081	hsa-mir-7156	MIR7156
ENSG00000266110	hsa-mir-4423	MIR4423
ENSG00000278281	hsa-mir-7856	MIR7856
ENSG00000211575	hsa-mir-760	MIR760
ENSG00000263526	hsa-mir-378g	MIR378G
ENSG00000284247	hsa-mir-2682	MIR2682
ENSG00000284202	hsa-mir-137	MIR137
ENSG00000207750	hsa-mir-553	MIR553
ENSG00000275455	hsa-mir-7852	MIR7852
ENSG00000284443	hsa-mir-197	MIR197
ENSG00000283296	hsa-mir-4256	MIR4256
ENSG00000264419	hsa-mir-548ac	MIR548AC
ENSG00000215930	hsa-mir-942	MIR942
ENSG00000278549	hsa-mir-6736	MIR6736
ENSG00000283676	hsa-mir-5087	MIR5087
ENSG00000278596	hsa-mir-6077	MIR6077
ENSG00000283933	hsa-mir-6878	MIR6878
ENSG00000264553	hsa-mir-4257	MIR4257
ENSG00000207606	hsa-mir-554	MIR554
ENSG00000274940	hsa-mir-8083	MIR8083
ENSG00000276584	hsa-mir-6737	MIR6737
ENSG00000263987	hsa-mir-5698	MIR5698
ENSG00000215938	hsa-mir-190b	MIR190B
ENSG00000264349	hsa-mir-4258	MIR4258
ENSG00000284586	hsa-mir-92b	MIR92B
ENSG00000283701	hsa-mir-555	MIR555
ENSG00000277817	hsa-mir-6738	MIR6738
ENSG00000207933	hsa-mir-9-1	MIR9-1
ENSG00000211581	hsa-mir-765	MIR765
ENSG00000266458	hsa-mir-4259	MIR4259
ENSG00000284035	hsa-mir-5187	MIR5187
ENSG00000266144	hsa-mir-4654	MIR4654
ENSG00000207729	hsa-mir-556	MIR556
ENSG00000283936	hsa-mir-3658	MIR3658
ENSG00000215952	hsa-mir-921	MIR921
ENSG00000221545	hsa-mir-1255b-2	MIR1255B2
ENSG00000207974	hsa-mir-557	MIR557
ENSG00000283340	hsa-mir-3119-1	MIR3119-1
ENSG00000263390	hsa-mir-3119-2	MIR3119-2
ENSG00000221390	hsa-mir-1295a	MIR1295A
ENSG00000283598	hsa-mir-1295b	MIR1295B
ENSG00000283844	hsa-mir-214	MIR214
ENSG00000283152	hsa-mir-3120	MIR3120
ENSG00000208024	hsa-mir-199a-2	MIR199A2
ENSG00000202609	hsa-mir-488	MIR488
ENSG00000266417	hsa-mir-4424	MIR4424
ENSG00000265435	hsa-mir-3121	MIR3121
ENSG00000283795	hsa-mir-4426	MIR4426
ENSG00000221680	hsa-mir-1278	MIR1278
ENSG00000265986	hsa-mir-4735	MIR4735
ENSG00000207975	hsa-mir-181b-1	MIR181B1
ENSG00000207759	hsa-mir-181a-1	MIR181A1
ENSG00000264802	hsa-mir-5191	MIR5191
ENSG00000221028	hsa-mir-1231	MIR1231
ENSG00000277681	hsa-mir-6739	MIR6739
ENSG00000275207	hsa-mir-6740	MIR6740
ENSG00000199059	hsa-mir-135b	MIR135B
ENSG00000278465	hsa-mir-6769b	MIR6769B
ENSG00000284214	hsa-mir-29c	MIR29C
ENSG00000284203	hsa-mir-29b-2	MIR29B2
ENSG00000284485	hsa-mir-205	MIR205
ENSG00000283876	hsa-mir-4260	MIR4260
ENSG00000264358	hsa-mir-3122	MIR3122
ENSG00000207590	hsa-mir-215	MIR215
ENSG00000207624	hsa-mir-194-1	MIR194-1
ENSG00000281696	hsa-mir-664a	MIR664A
ENSG00000266618	hsa-mir-4742	MIR4742
ENSG00000284519	hsa-mir-6741	MIR6741
ENSG00000264483	hsa-mir-5008	MIR5008
ENSG00000284163	hsa-mir-3620	MIR3620
ENSG00000284311	hsa-mir-6742	MIR6742
ENSG00000266174	hsa-mir-4666a	MIR4666A
ENSG00000283799	hsa-mir-1182	MIR1182
ENSG00000265744	hsa-mir-4427	MIR4427
ENSG00000264377	hsa-mir-4671	MIR4671
ENSG00000263439	hsa-mir-4753	MIR4753
ENSG00000222831	hsa-mir-1537	MIR1537
ENSG00000266262	hsa-mir-4428	MIR4428
ENSG00000265831	hsa-mir-3123	MIR3123
ENSG00000265201	hsa-mir-4677	MIR4677
ENSG00000283881	hsa-mir-3916	MIR3916
ENSG00000264500	hsa-mir-3124	MIR3124
ENSG00000276733	hsa-mir-7158	MIR7158
ENSG00000283394	hsa-mir-7515	MIR7515
ENSG00000265418	hsa-mir-4261	MIR4261
ENSG00000264010	hsa-mir-4429	MIR4429
ENSG00000265056	hsa-mir-548s	MIR548S
ENSG00000265172	hsa-mir-4262	MIR4262
ENSG00000264089	hsa-mir-3681	MIR3681
ENSG00000264370	hsa-mir-3125	MIR3125
ENSG00000266738	hsa-mir-4757	MIR4757
ENSG00000221445	hsa-mir-1301	MIR1301
ENSG00000265321	hsa-mir-4263	MIR4263
ENSG00000207653	hsa-mir-558	MIR558
ENSG00000265057	hsa-mir-4765	MIR4765
ENSG00000283591	hsa-mir-4430	MIR4430
ENSG00000265301	hsa-mir-548ad	MIR548AD
ENSG00000207923	hsa-mir-559	MIR559
ENSG00000212036	hsa-mir-548ba	MIR548BA
ENSG00000216191	hsa-mir-8485	MIR8485
ENSG00000264975	hsa-mir-4431	MIR4431
ENSG00000265452	hsa-mir-3682	MIR3682
ENSG00000207548	hsa-mir-217	MIR217
ENSG00000207798	hsa-mir-216a	MIR216A
ENSG00000211520	hsa-mir-216b	MIR216B
ENSG00000266078	hsa-mir-4432	MIR4432
ENSG00000266097	hsa-mir-5192	MIR5192
ENSG00000264297	hsa-mir-4433b	MIR4433B
ENSG00000283222	hsa-mir-4433a	MIR4433A
ENSG00000283204	hsa-mir-4434	MIR4434
ENSG00000264525	hsa-mir-4778	MIR4778
ENSG00000266649	hsa-mir-3126	MIR3126
ENSG00000221238	hsa-mir-1285-2	MIR1285-2
ENSG00000263909	hsa-mir-5000	MIR5000
ENSG00000266436	hsa-mir-4264	MIR4264
ENSG00000276917	hsa-mir-8080	MIR8080
ENSG00000278783	hsa-mir-6071	MIR6071
ENSG00000265420	hsa-mir-4779	MIR4779
ENSG00000264793	hsa-mir-4771-1	MIR4771-1
ENSG00000265003	hsa-mir-4780	MIR4780
ENSG00000265510	hsa-mir-4436a	MIR4436A
ENSG00000264157	hsa-mir-3127	MIR3127
ENSG00000264857	hsa-mir-5696	MIR5696
ENSG00000264764	hsa-mir-4772	MIR4772
ENSG00000264934	hsa-mir-4265	MIR4265
ENSG00000265965	hsa-mir-4266	MIR4266
ENSG00000265682	hsa-mir-4267	MIR4267
ENSG00000264979	hsa-mir-4436b-1	MIR4436B1
ENSG00000263881	hsa-mir-4436b-2	MIR4436B2
ENSG00000266139	hsa-mir-4435-2	MIR4435-2
ENSG00000266063	hsa-mir-4771-2	MIR4771-2
ENSG00000221055	hsa-mir-1302-3	MIR1302-3
ENSG00000265429	hsa-mir-4782	MIR4782
ENSG00000264075	hsa-mir-4783	MIR4783
ENSG00000284149	hsa-mir-4784	MIR4784
ENSG00000221288	hsa-mir-663b	MIR663B
ENSG00000263813	hsa-mir-3679	MIR3679
ENSG00000263783	hsa-mir-5590	MIR5590
ENSG00000207654	hsa-mir-128-1	MIR128-1
ENSG00000283506	hsa-mir-7157	MIR7157
ENSG00000283569	hsa-mir-4773-2	MIR4773-2
