strand	strat	chr	gene_name	gene_id	end	gene_type
-	71800541	11	ALG1L9P	ENSG00000254978	71804640	transcribed_unprocessed_pseudogene
+	116032324	5	ARL14EPL	ENSG00000268223	116060118	protein_coding
-	73715843	10	BMS1P4	ENSG00000242338	73730469	transcribed_unprocessed_pseudogene
+	150852484	3	CLRN1-AS1	ENSG00000239265	151080726	antisense_RNA
-	69320140	16	COG8	ENSG00000213380	69339583	protein_coding
-	47581211	10	CTSLP2	ENSG00000266217	47582321	unprocessed_pseudogene
+	50350695	3	CYB561D2	ENSG00000114395	50358460	protein_coding
+	18970514	22	DGCR5	ENSG00000237517	18994628	transcribed_unprocessed_pseudogene
+	73247360	10	DNAJC9-AS1	ENSG00000236756	73276984	antisense_RNA
+	15826566	22	DUXAP8	ENSG00000271672	15827187	transcribed_processed_pseudogene
-	37367960	22	ELFN2	ENSG00000166897	37427470	protein_coding
+	6970893	12	EMG1	ENSG00000126749	6979941	protein_coding
-	90348844	15	GABARAPL3	ENSG00000238244	90349197	processed_pseudogene
+	10285754	3	GHRLOS	ENSG00000240288	10293449	antisense_RNA
-	28719377	15	GOLGA8M	ENSG00000261480	28738431	lincRNA
+	43565189	21	H2BFS	ENSG00000234289	43565648	protein_coding
+	63102205	20	HAR1A	ENSG00000225978	63104386	lincRNA
+	8652137	6	HULC	ENSG00000251164	8653846	lincRNA
-	144004916	6	HYMAI	ENSG00000283122	144008262	non_coding
-	2695765	12	ITFG2-AS1	ENSG00000256150	2812902	processed_transcript
+	1971397	8	KBTBD11-OT1	ENSG00000253696	1976478	lincRNA
+	91159573	9	LINC00484	ENSG00000235641	91165658	lincRNA
-	779840	2	LINC01115	ENSG00000237667	868426	lincRNA
+	241970683	2	LINC01238	ENSG00000237940	241977276	lincRNA
-	19344578	14	LINC01297	ENSG00000274827	19384587	lincRNA
+	26858634	22	LINC01422	ENSG00000223704	26865786	lincRNA
-	70219132	12	LINC01481	ENSG00000257613	70221862	lincRNA
+	105993310	9	LINC01505	ENSG00000234323	106740875	lincRNA
-	54085132	12	LINC01598	ENSG00000250432	54125992	lincRNA
+	65497762	11	MALAT1	ENSG00000251562	65506516	lincRNA
+	139293648	5	MATR3	ENSG00000015479	139331677	protein_coding
+	21653304	22	MIR130B	ENSG00000283871	21653385	miRNA
-	128392618	9	MIR219A2	ENSG00000284185	128392714	miRNA
+	52079696	12	OR7E47P	ENSG00000257542	52108261	transcribed_unprocessed_pseudogene
+	192749845	2	PCGEM1	ENSG00000227418	192776899	lincRNA
-	177623252	2	PDE11A	ENSG00000128655	178072755	protein_coding
+	139232992	3	PISRT1	ENSG00000281473	139233522	lincRNA
-	44013562	7	POLR2J4	ENSG00000272655	44019170	transcribed_unprocessed_pseudogene
+	64099273	3	PRICKLE2-AS1	ENSG00000241572	64101122	antisense_RNA
-	46712115	3	PRSS50	ENSG00000283706	46717907	protein_coding
+	66682164	7	RABGEF1	ENSG00000154710	66811464	protein_coding
+	149884431	6	RAET1E-AS1	ENSG00000223701	149919508	antisense_RNA
+	32362972	22	RFPL3-AS1_1	ENSG00000274617	32363059	misc_RNA
-	163111121	1	RGS5	ENSG00000143248	163321791	protein_coding
-	35657751	9	RMRP	ENSG00000269900	35658018	lincRNA
-	50523568	22	SCO2	ENSG00000284194	50526439	protein_coding
-	28580920	1	SNORA16A	ENSG00000274582	28581056	snoRNA
-	136726104	9	SNORA17B	ENSG00000280496	136726239	snoRNA
-	19112419	17	SNORD3D	ENSG00000277947	19112636	snoRNA
-	70846079	X	SNORD3E	ENSG00000277492	70846295	snoRNA
+	23979810	13	SPATA13	ENSG00000228741	24035027	lincRNA
-	47045538	2	STPG4	ENSG00000239605	47155287	protein_coding
+	46479565	2	TMEM247	ENSG00000284701	46484425	protein_coding
+	103918896	X	TMSB15B	ENSG00000158427	103966712	protein_coding
-	3735601	1	TP73-AS1	ENSG00000227372	3747336	transcribed_unitary_pseudogene
+	116709235	3	TUSC7	ENSG00000243197	116723581	antisense_RNA
+	15828961	19	UCA1	ENSG00000214049	15836320	processed_transcript
+	11869	1	DDX11L1	ENSG00000223972	14409	transcribed_unprocessed_pseudogene
-	14404	1	WASH7P	ENSG00000227232	29570	unprocessed_pseudogene
-	17369	1	MIR6859-1	ENSG00000278267	17436	miRNA
+	29554	1	MIR1302-2HG	ENSG00000243485	31109	lncRNA
+	30366	1	MIR1302-2	ENSG00000284332	30503	miRNA
-	34554	1	FAM138A	ENSG00000237613	36081	lncRNA
+	52473	1	OR4G4P	ENSG00000268020	53312	unprocessed_pseudogene
+	57598	1	OR4G11P	ENSG00000240361	64116	transcribed_unprocessed_pseudogene
+	65419	1	OR4F5	ENSG00000186092	71585	protein_coding
-	89295	1	AL627309.1	ENSG00000238009	133723	lncRNA
-	89551	1	AL627309.3	ENSG00000239945	91105	lncRNA
+	131025	1	CICP27	ENSG00000233750	134836	processed_pseudogene
-	135141	1	AL627309.6	ENSG00000268903	135895	processed_pseudogene
-	137682	1	AL627309.7	ENSG00000269981	137965	processed_pseudogene
-	139790	1	AL627309.2	ENSG00000239906	140339	lncRNA
-	141474	1	AL627309.5	ENSG00000241860	173862	lncRNA
-	157784	1	RNU6-1100P	ENSG00000222623	157887	snRNA
+	160446	1	AL627309.4	ENSG00000241599	161525	lncRNA
+	182696	1	DDX11L17	ENSG00000279928	184174	unprocessed_pseudogene
-	185217	1	WASH9P	ENSG00000279457	195411	unprocessed_pseudogene
-	187891	1	MIR6859-2	ENSG00000273874	187958	miRNA
-	257864	1	AP006222.1	ENSG00000228463	359681	transcribed_processed_pseudogene
+	266855	1	AP006222.2	ENSG00000286448	268655	lncRNA
-	347982	1	RPL23AP24	ENSG00000236679	348366	processed_pseudogene
+	358857	1	AL732372.1	ENSG00000236601	366052	lncRNA
-	365389	1	AL732372.2	ENSG00000237094	522928	transcribed_unprocessed_pseudogene
+	439870	1	WBP1LP7	ENSG00000269732	440232	processed_pseudogene
-	450740	1	OR4F29	ENSG00000284733	451678	protein_coding
+	487101	1	CICP7	ENSG00000233653	489906	processed_pseudogene
-	491225	1	AL732372.3	ENSG00000250575	493241	unprocessed_pseudogene
-	586071	1	AL669831.3	ENSG00000230021	827796	transcribed_processed_pseudogene
+	587629	1	AC114498.1	ENSG00000235146	594768	lncRNA
+	629062	1	MTND1P23	ENSG00000225972	629433	unprocessed_pseudogene
+	629640	1	MTND2P28	ENSG00000225630	630683	unprocessed_pseudogene
+	631074	1	MTCO1P12	ENSG00000237973	632616	unprocessed_pseudogene
-	632325	1	AC114498.2	ENSG00000278791	632413	miRNA
+	632757	1	MTCO2P12	ENSG00000229344	633438	unprocessed_pseudogene
+	633535	1	MTATP8P1	ENSG00000240409	633741	unprocessed_pseudogene
+	633696	1	MTATP6P1	ENSG00000248527	634376	unprocessed_pseudogene
+	634376	1	MTCO3P12	ENSG00000198744	634922	unprocessed_pseudogene
+	674842	1	WBP1LP6	ENSG00000268663	675265	processed_pseudogene
-	685679	1	OR4F16	ENSG00000284662	686673	protein_coding
+	722092	1	CICP3	ENSG00000229376	724903	processed_pseudogene
-	725885	1	AL669831.1	ENSG00000228327	778626	transcribed_unprocessed_pseudogene
-	758233	1	RNU6-1199P	ENSG00000223181	758336	snRNA
+	760911	1	AL669831.2	ENSG00000229905	761989	lncRNA
+	778747	1	LINC01409	ENSG00000237491	810065	lncRNA
+	781937	1	AL669831.6	ENSG00000285268	782050	transcribed_processed_pseudogene
-	800879	1	AL669831.4	ENSG00000230092	817712	transcribed_unprocessed_pseudogene
+	817371	1	FAM87B	ENSG00000177757	819837	lncRNA
+	825138	1	LINC01128	ENSG00000228794	859446	lncRNA
-	826206	1	LINC00115	ENSG00000225880	827522	lncRNA
+	860226	1	AL669831.7	ENSG00000288531	868202	lncRNA
-	868071	1	FAM41C	ENSG00000230368	876903	lncRNA
+	873292	1	TUBB8P11	ENSG00000234711	874349	unprocessed_pseudogene
-	874529	1	AL669831.5	ENSG00000283040	877234	transcribed_unprocessed_pseudogene
+	904834	1	AL645608.6	ENSG00000272438	915976	lncRNA
+	911435	1	AL645608.2	ENSG00000230699	914948	lncRNA
+	914171	1	AL645608.4	ENSG00000241180	914971	lncRNA
-	916865	1	LINC02593	ENSG00000223764	921016	lncRNA
